date,close,MA_fast,MA_slow,MA_slow_slope,y_L2
2000-01-03,22.525,,,,
2000-01-04,22.525,,,,
2000-01-05,22.525,,,,
2000-01-06,22.525,,,,
2000-01-07,22.53,,,,
2000-01-10,22.53,,,,
2000-01-11,22.53,,,,
2000-01-12,22.53,,,,
2000-01-13,22.536,,,,
2000-01-14,22.536,3.1148122292902363,,,
2000-01-17,22.536,3.114861051998203,,,
2000-01-18,22.536,3.11490987470617,,,
2000-01-19,22.536,3.1149586974141372,,,
2000-01-20,22.536,3.1150075201221044,,,
2000-01-21,22.536,3.115034147735096,,,
2000-01-24,22.596,3.115326662236982,,,
2000-01-25,22.596,3.1156191767388686,,,
2000-01-26,22.596,3.115911691240755,,,
2000-01-27,22.596,3.116177578129649,,,
2000-01-28,22.596,3.1164434650185435,,,
2000-01-31,22.596,3.116709351907438,,,
2000-02-01,22.596,3.1169752387963325,,,
2000-02-02,22.582,3.117179148614758,,,
2000-02-03,22.582,3.1173830584331843,,,
2000-02-04,22.582,3.1175869682516097,,,
2000-02-07,22.582,3.1175249911811416,,,
2000-02-08,22.582,3.117463014110673,,,
2000-02-09,22.893,3.1187688428619316,,,
2000-02-10,22.893,3.120074671613191,,,
2000-02-11,22.893,3.12138050036445,,,
2000-02-14,22.893,3.122686329115709,,,
2000-02-15,22.893,3.123992157866968,,,
2000-02-16,22.893,3.1253599636886955,,,
2000-02-17,22.893,3.126727769510423,,,
2000-02-18,23.115,3.129060632378609,,,
2000-02-21,23.115,3.131393495246795,,,
2000-02-22,23.124,3.133765286292985,,,
2000-02-23,23.124,3.134769271517447,,,
2000-02-24,23.124,3.135773256741909,,,
2000-02-25,23.124,3.1367772419663718,,,
2000-02-28,23.124,3.137781227190834,,,
2000-02-29,23.124,3.1387852124152964,,,
2000-03-01,23.124,3.1397891976397587,,,
2000-03-02,23.124,3.140793182864221,,,
2000-03-03,23.124,3.1408321110422253,,,
2000-03-06,23.124,3.1408710392202295,,,
2000-03-07,23.124,3.1408710392202295,,,
2000-03-08,23.124,3.1408710392202295,,,
2000-03-09,23.124,3.1408710392202295,,,
2000-03-10,23.204,3.1412164030585883,3.126125967939638,,
2000-03-13,23.204,3.1415617668969475,3.126719945421826,,
2000-03-14,23.204,3.141907130735306,3.1273139229040146,,
2000-03-15,23.204,3.142252494573665,3.127907900386203,,
2000-03-16,23.204,3.1425978584120235,3.1285018778683917,,
2000-03-17,23.204,3.142943222250383,3.1290914163315846,0.00296544839194679,1.0
2000-03-20,23.204,3.1432885860887416,3.1296809547947784,0.0029610093729521836,1.0
2000-03-21,23.204,3.1436339499271004,3.1302704932579712,0.002956570353956689,1.0
2000-03-22,23.204,3.1439793137654592,3.130860031721164,0.0029521313349611944,1.0
2000-03-23,23.243,3.1444926109866653,3.1314778313383287,0.002975953469936954,1.0
2000-03-24,23.243,3.1446605443695126,3.132095630955493,0.003004214623908208,1.0
2000-03-27,23.252,3.144867191593041,3.132721173340794,0.0030402185460154385,1.0
2000-03-28,23.252,3.1450738388165695,3.133346715726095,0.0030762224681235573,1.0
2000-03-29,23.252,3.145280486040098,3.133972258111395,0.003112226390230788,1.0
2000-03-30,23.252,3.1454871332636265,3.134597800496696,0.0031199691583672085,1.0
2000-03-31,23.252,3.145693780487156,3.1352233428819964,0.003127711926503629,1.0
2000-04-03,23.252,3.1459004277106843,3.135795707889518,0.003074534548724195,1.0
2000-04-04,23.252,3.146107074934213,3.13636807289704,0.0030213571709452047,1.0
2000-04-05,23.252,3.1463137221577413,3.136940437904562,0.002968179793167103,1.0
